iso_code,location,new_cases,new_deaths,total_cases,total_deaths,hospital_beds_per_thousand,life_expectancy,human_development_index,population,cases_per_million,deaths_per_million
IND,India,85687.0,1115.0,3310234.0,60472.0,0.53,69.66,0.645,1417173120.0,2335.800724190987,42.670862964152185
IND,India,77266.0,1057.0,3387500.0,61529.0,0.53,69.66,0.645,1417173120.0,2390.3219389314977,43.41671397210808
IND,India,76472.0,1021.0,3463972.0,62550.0,0.53,69.66,0.645,1417173120.0,2444.282883378426,44.13716229672773
IND,India,78761.0,948.0,3542733.0,63498.0,0.53,69.66,0.645,1417173120.0,2499.8590151074836,44.80609962458221
IND,India,78512.0,971.0,3621245.0,64469.0,0.53,69.66,0.645,1417173120.0,2555.259444943466,45.49126644456818
IND,India,69921.0,819.0,3691166.0,65288.0,0.53,69.66,0.645,1417173120.0,2604.5978066532903,46.06917749046779
IND,India,78357.0,1045.0,3769523.0,66333.0,0.53,69.66,0.645,1417173120.0,2659.888863824908,46.806560937311595
IND,India,83883.0,1043.0,3853406.0,67376.0,0.53,69.66,0.645,1417173120.0,2719.0792328886396,47.54253312397006
IND,India,83341.0,1096.0,3936747.0,68472.0,0.53,69.66,0.645,1417173120.0,2777.8871504421422,48.31590370554022
IND,India,86432.0,1089.0,4023179.0,69561.0,0.53,69.66,0.645,1417173120.0,2838.8761706120986,49.08433487646167
IND,India,90632.0,1065.0,4113811.0,70626.0,0.53,69.66,0.645,1417173120.0,2902.828837171284,49.83583092515895
IND,India,90802.0,1016.0,4204613.0,71642.0,0.53,69.66,0.645,1417173120.0,2966.901460846223,50.55275109931523
